"user_id","username","password","role","linked_student_id"
"U_S0109","s0109@gsr.edu.in","S0109","student","S0109"
"U_S0110","s0110@gsr.edu.in","S0110","student","S0110"
"U_S0111","s0111@gsr.edu.in","S0111","student","S0111"
"U_S0112","s0112@gsr.edu.in","S0112","student","S0112"
"U_S0113","s0113@gsr.edu.in","S0113","student","S0113"
"U_S0114","s0114@gsr.edu.in","S0114","student","S0114"
"U_S0115","s0115@gsr.edu.in","S0115","student","S0115"
"U_S0116","s0116@gsr.edu.in","S0116","student","S0116"
"U_S0117","s0117@gsr.edu.in","S0117","student","S0117"
"U_S0118","s0118@gsr.edu.in","S0118","student","S0118"
"U_S0119","s0119@gsr.edu.in","S0119","student","S0119"
"U_S0120","s0120@gsr.edu.in","S0120","student","S0120"
"U_S0121","s0121@gsr.edu.in","S0121","student","S0121"
"U_S0122","s0122@gsr.edu.in","S0122","student","S0122"
"U_S0123","s0123@gsr.edu.in","S0123","student","S0123"
"U_S0124","s0124@gsr.edu.in","S0124","student","S0124"
"U_S0125","s0125@gsr.edu.in","S0125","student","S0125"
"U_S0126","s0126@gsr.edu.in","S0126","student","S0126"
"U_S0127","s0127@gsr.edu.in","S0127","student","S0127"
"U_S0128","s0128@gsr.edu.in","S0128","student","S0128"
"U_S0129","s0129@gsr.edu.in","S0129","student","S0129"
"U_S0130","s0130@gsr.edu.in","S0130","student","S0130"
"U_S0131","s0131@gsr.edu.in","S0131","student","S0131"
"U_S0132","s0132@gsr.edu.in","S0132","student","S0132"
"U_S0133","s0133@gsr.edu.in","S0133","student","S0133"
"U_S0134","s0134@gsr.edu.in","S0134","student","S0134"
"U_S0135","s0135@gsr.edu.in","S0135","student","S0135"
"U_S0136","s0136@gsr.edu.in","S0136","student","S0136"
"U_S0137","s0137@gsr.edu.in","S0137","student","S0137"
"U_S0138","s0138@gsr.edu.in","S0138","student","S0138"
"U_S0139","s0139@gsr.edu.in","S0139","student","S0139"
"U_S0140","s0140@gsr.edu.in","S0140","student","S0140"
"U_S0141","s0141@gsr.edu.in","S0141","student","S0141"
"U_S0142","s0142@gsr.edu.in","S0142","student","S0142"
"U_S0143","s0143@gsr.edu.in","S0143","student","S0143"
"U_S0144","s0144@gsr.edu.in","S0144","student","S0144"
"U_S0145","s0145@gsr.edu.in","S0145","student","S0145"
"U_S0146","s0146@gsr.edu.in","S0146","student","S0146"
"U_S0147","s0147@gsr.edu.in","S0147","student","S0147"
"U_S0148","s0148@gsr.edu.in","S0148","student","S0148"
"U_S0149","s0149@gsr.edu.in","S0149","student","S0149"
"U_S0150","s0150@gsr.edu.in","S0150","student","S0150"
"U_S0151","s0151@gsr.edu.in","S0151","student","S0151"
"U_S0152","s0152@gsr.edu.in","S0152","student","S0152"
"U_S0153","s0153@gsr.edu.in","S0153","student","S0153"
"U_S0154","s0154@gsr.edu.in","S0154","student","S0154"
"U_S0155","s0155@gsr.edu.in","S0155","student","S0155"
"U_S0156","s0156@gsr.edu.in","S0156","student","S0156"
"U_S0157","s0157@gsr.edu.in","S0157","student","S0157"
"U_S0158","s0158@gsr.edu.in","S0158","student","S0158"
"U_S0159","s0159@gsr.edu.in","S0159","student","S0159"
"U_S0160","s0160@gsr.edu.in","S0160","student","S0160"
"U_S0161","s0161@gsr.edu.in","S0161","student","S0161"
"U_S0162","s0162@gsr.edu.in","S0162","student","S0162"
"U_S0163","s0163@gsr.edu.in","S0163","student","S0163"
"U_S0164","s0164@gsr.edu.in","S0164","student","S0164"
"U_S0165","s0165@gsr.edu.in","S0165","student","S0165"
"U_S0166","s0166@gsr.edu.in","S0166","student","S0166"
"U_S0167","s0167@gsr.edu.in","S0167","student","S0167"
"U_S0168","s0168@gsr.edu.in","S0168","student","S0168"
"U_S0169","s0169@gsr.edu.in","S0169","student","S0169"
"U_S0170","s0170@gsr.edu.in","S0170","student","S0170"
"U_S0171","s0171@gsr.edu.in","S0171","student","S0171"
"U_S0172","s0172@gsr.edu.in","S0172","student","S0172"
"U_S0173","s0173@gsr.edu.in","S0173","student","S0173"
"U_S0174","s0174@gsr.edu.in","S0174","student","S0174"
"U_S0175","s0175@gsr.edu.in","S0175","student","S0175"
"U_S0176","s0176@gsr.edu.in","S0176","student","S0176"
"U_S0177","s0177@gsr.edu.in","S0177","student","S0177"
"U_S0178","s0178@gsr.edu.in","S0178","student","S0178"
"U_S0179","s0179@gsr.edu.in","S0179","student","S0179"
"U_S0180","s0180@gsr.edu.in","S0180","student","S0180"
"U_S0181","s0181@gsr.edu.in","S0181","student","S0181"
"U_S0182","s0182@gsr.edu.in","S0182","student","S0182"
"U_S0183","s0183@gsr.edu.in","S0183","student","S0183"
"U_S0184","s0184@gsr.edu.in","S0184","student","S0184"
"U_S0185","s0185@gsr.edu.in","S0185","student","S0185"
"U_S0186","s0186@gsr.edu.in","S0186","student","S0186"
"U_S0187","s0187@gsr.edu.in","S0187","student","S0187"
"U_S0188","s0188@gsr.edu.in","S0188","student","S0188"
"U_S0189","s0189@gsr.edu.in","S0189","student","S0189"
"U_S0190","s0190@gsr.edu.in","S0190","student","S0190"
"U_S0191","s0191@gsr.edu.in","S0191","student","S0191"
"U_S0192","s0192@gsr.edu.in","S0192","student","S0192"
"U_S0193","s0193@gsr.edu.in","S0193","student","S0193"
"U_S0194","s0194@gsr.edu.in","S0194","student","S0194"
"U_S0195","s0195@gsr.edu.in","S0195","student","S0195"
"U_S0196","s0196@gsr.edu.in","S0196","student","S0196"
"U_S0197","s0197@gsr.edu.in","S0197","student","S0197"
"U_S0198","s0198@gsr.edu.in","S0198","student","S0198"
"U_S0199","s0199@gsr.edu.in","S0199","student","S0199"
"U_S0200","s0200@gsr.edu.in","S0200","student","S0200"
"U_S0201","s0201@gsr.edu.in","S0201","student","S0201"
"U_S0202","s0202@gsr.edu.in","S0202","student","S0202"
"U_S0203","s0203@gsr.edu.in","S0203","student","S0203"
"U_S0204","s0204@gsr.edu.in","S0204","student","S0204"
"U_S0205","s0205@gsr.edu.in","S0205","student","S0205"
"U_S0206","s0206@gsr.edu.in","S0206","student","S0206"
"U_S0207","s0207@gsr.edu.in","S0207","student","S0207"
"U_S0208","s0208@gsr.edu.in","S0208","student","S0208"
"U_S0209","s0209@gsr.edu.in","S0209","student","S0209"
"U_S0210","s0210@gsr.edu.in","S0210","student","S0210"
"U_S0211","s0211@gsr.edu.in","S0211","student","S0211"
"U_S0212","s0212@gsr.edu.in","S0212","student","S0212"
"U_S0213","s0213@gsr.edu.in","S0213","student","S0213"
"U_S0214","s0214@gsr.edu.in","S0214","student","S0214"
"U_S0215","s0215@gsr.edu.in","S0215","student","S0215"
"U_S0216","s0216@gsr.edu.in","S0216","student","S0216"
"U_S0217","s0217@gsr.edu.in","S0217","student","S0217"
"U_S0218","s0218@gsr.edu.in","S0218","student","S0218"
"U_S0219","s0219@gsr.edu.in","S0219","student","S0219"
"U_S0220","s0220@gsr.edu.in","S0220","student","S0220"
"U_S0221","s0221@gsr.edu.in","S0221","student","S0221"
"U_S0222","s0222@gsr.edu.in","S0222","student","S0222"
"U_S0223","s0223@gsr.edu.in","S0223","student","S0223"
"U_S0224","s0224@gsr.edu.in","S0224","student","S0224"
"U_S0225","s0225@gsr.edu.in","S0225","student","S0225"
"U_S0226","s0226@gsr.edu.in","S0226","student","S0226"
"U_S0227","s0227@gsr.edu.in","S0227","student","S0227"
"U_S0228","s0228@gsr.edu.in","S0228","student","S0228"
"U_S0229","s0229@gsr.edu.in","S0229","student","S0229"
"U_S0230","s0230@gsr.edu.in","S0230","student","S0230"
"U_S0231","s0231@gsr.edu.in","S0231","student","S0231"
"U_S0232","s0232@gsr.edu.in","S0232","student","S0232"
"U_S0233","s0233@gsr.edu.in","S0233","student","S0233"
"U_S0234","s0234@gsr.edu.in","S0234","student","S0234"
"U_S0235","s0235@gsr.edu.in","S0235","student","S0235"
"U_S0236","s0236@gsr.edu.in","S0236","student","S0236"
"U_S0237","s0237@gsr.edu.in","S0237","student","S0237"
"U_S0238","s0238@gsr.edu.in","S0238","student","S0238"
"U_S0239","s0239@gsr.edu.in","S0239","student","S0239"
"U_S0240","s0240@gsr.edu.in","S0240","student","S0240"
"U_S0241","s0241@gsr.edu.in","S0241","student","S0241"
"U_S0242","s0242@gsr.edu.in","S0242","student","S0242"
"U_S0243","s0243@gsr.edu.in","S0243","student","S0243"
"U_S0244","s0244@gsr.edu.in","S0244","student","S0244"
"U_S0245","s0245@gsr.edu.in","S0245","student","S0245"
"U_S0246","s0246@gsr.edu.in","S0246","student","S0246"
"U_S0247","s0247@gsr.edu.in","S0247","student","S0247"
"U_S0248","s0248@gsr.edu.in","S0248","student","S0248"
"U_S0249","s0249@gsr.edu.in","S0249","student","S0249"
"U_S0250","s0250@gsr.edu.in","S0250","student","S0250"
"U_S0251","s0251@gsr.edu.in","S0251","student","S0251"
"U_S0252","s0252@gsr.edu.in","S0252","student","S0252"
"U_S0253","s0253@gsr.edu.in","S0253","student","S0253"
"U_S0254","s0254@gsr.edu.in","S0254","student","S0254"
"U_S0255","s0255@gsr.edu.in","S0255","student","S0255"
"U_S0256","s0256@gsr.edu.in","S0256","student","S0256"
"U_S0257","s0257@gsr.edu.in","S0257","student","S0257"
"U_S0258","s0258@gsr.edu.in","S0258","student","S0258"
"U_S0259","s0259@gsr.edu.in","S0259","student","S0259"
"U_S0260","s0260@gsr.edu.in","S0260","student","S0260"
"U_S0261","s0261@gsr.edu.in","S0261","student","S0261"
"U_S0262","s0262@gsr.edu.in","S0262","student","S0262"
"U_S0263","s0263@gsr.edu.in","S0263","student","S0263"
"U_S0264","s0264@gsr.edu.in","S0264","student","S0264"
"U_S0265","s0265@gsr.edu.in","S0265","student","S0265"
"U_S0266","s0266@gsr.edu.in","S0266","student","S0266"
"U_S0267","s0267@gsr.edu.in","S0267","student","S0267"
"U_S0268","s0268@gsr.edu.in","S0268","student","S0268"
"U_S0269","s0269@gsr.edu.in","S0269","student","S0269"
"U_S0270","s0270@gsr.edu.in","S0270","student","S0270"
"U_S0271","s0271@gsr.edu.in","S0271","student","S0271"
"U_S0272","s0272@gsr.edu.in","S0272","student","S0272"
"U_S0273","s0273@gsr.edu.in","S0273","student","S0273"
"U_S0274","s0274@gsr.edu.in","S0274","student","S0274"
"U_S0275","s0275@gsr.edu.in","S0275","student","S0275"
"U_S0276","s0276@gsr.edu.in","S0276","student","S0276"
"U_S0277","s0277@gsr.edu.in","S0277","student","S0277"
"U_S0278","s0278@gsr.edu.in","S0278","student","S0278"
"U_S0279","s0279@gsr.edu.in","S0279","student","S0279"
"U_S0280","s0280@gsr.edu.in","S0280","student","S0280"
"U_S0281","s0281@gsr.edu.in","S0281","student","S0281"
"U_S0282","s0282@gsr.edu.in","S0282","student","S0282"
"U_S0283","s0283@gsr.edu.in","S0283","student","S0283"
"U_S0284","s0284@gsr.edu.in","S0284","student","S0284"
"U_S0285","s0285@gsr.edu.in","S0285","student","S0285"
"U_S0286","s0286@gsr.edu.in","S0286","student","S0286"
"U_S0287","s0287@gsr.edu.in","S0287","student","S0287"
"U_S0288","s0288@gsr.edu.in","S0288","student","S0288"
"U_S0289","s0289@gsr.edu.in","S0289","student","S0289"
"U_S0290","s0290@gsr.edu.in","S0290","student","S0290"
"U_S0291","s0291@gsr.edu.in","S0291","student","S0291"
"U_S0292","s0292@gsr.edu.in","S0292","student","S0292"
"U_S0293","s0293@gsr.edu.in","S0293","student","S0293"
"U_S0294","s0294@gsr.edu.in","S0294","student","S0294"
"U_S0295","s0295@gsr.edu.in","S0295","student","S0295"
"U_S0296","s0296@gsr.edu.in","S0296","student","S0296"
"U_S0297","s0297@gsr.edu.in","S0297","student","S0297"
"U_S0298","s0298@gsr.edu.in","S0298","student","S0298"
"U_S0299","s0299@gsr.edu.in","S0299","student","S0299"
"U_S0300","s0300@gsr.edu.in","S0300","student","S0300"
"U_S0301","s0301@gsr.edu.in","S0301","student","S0301"
"U_S0302","s0302@gsr.edu.in","S0302","student","S0302"
"U_S0303","s0303@gsr.edu.in","S0303","student","S0303"
"U_S0304","s0304@gsr.edu.in","S0304","student","S0304"
"U_S0305","s0305@gsr.edu.in","S0305","student","S0305"
"U_S0306","s0306@gsr.edu.in","S0306","student","S0306"
"U_S0307","s0307@gsr.edu.in","S0307","student","S0307"
"U_S0308","s0308@gsr.edu.in","S0308","student","S0308"
"U_S0309","s0309@gsr.edu.in","S0309","student","S0309"
"U_S0310","s0310@gsr.edu.in","S0310","student","S0310"
"U_S0311","s0311@gsr.edu.in","S0311","student","S0311"
"U_S0312","s0312@gsr.edu.in","S0312","student","S0312"
"U_S0313","s0313@gsr.edu.in","S0313","student","S0313"
"U_S0314","s0314@gsr.edu.in","S0314","student","S0314"
"U_S0315","s0315@gsr.edu.in","S0315","student","S0315"
"U_S0316","s0316@gsr.edu.in","S0316","student","S0316"
"U_S0317","s0317@gsr.edu.in","S0317","student","S0317"
"U_S0318","s0318@gsr.edu.in","S0318","student","S0318"
"U_S0319","s0319@gsr.edu.in","S0319","student","S0319"
"U_S0320","s0320@gsr.edu.in","S0320","student","S0320"
"U_S0321","s0321@gsr.edu.in","S0321","student","S0321"
"U_S0322","s0322@gsr.edu.in","S0322","student","S0322"
"U_S0323","s0323@gsr.edu.in","S0323","student","S0323"
"U_S0324","s0324@gsr.edu.in","S0324","student","S0324"
"U_S0325","s0325@gsr.edu.in","S0325","student","S0325"
"U_S0326","s0326@gsr.edu.in","S0326","student","S0326"
"U_S0327","s0327@gsr.edu.in","S0327","student","S0327"
"U_S0328","s0328@gsr.edu.in","S0328","student","S0328"
"U_S0329","s0329@gsr.edu.in","S0329","student","S0329"
"U_S0330","s0330@gsr.edu.in","S0330","student","S0330"
"U_S0331","s0331@gsr.edu.in","S0331","student","S0331"
"U_S0332","s0332@gsr.edu.in","S0332","student","S0332"
"U_S0333","s0333@gsr.edu.in","S0333","student","S0333"
"U_S0334","s0334@gsr.edu.in","S0334","student","S0334"
"U_S0335","s0335@gsr.edu.in","S0335","student","S0335"
"U_S0336","s0336@gsr.edu.in","S0336","student","S0336"
"U_S0337","s0337@gsr.edu.in","S0337","student","S0337"
"U_S0338","s0338@gsr.edu.in","S0338","student","S0338"
"U_S0339","s0339@gsr.edu.in","S0339","student","S0339"
"U_S0340","s0340@gsr.edu.in","S0340","student","S0340"
"U_S0341","s0341@gsr.edu.in","S0341","student","S0341"
"U_S0342","s0342@gsr.edu.in","S0342","student","S0342"
"U_S0343","s0343@gsr.edu.in","S0343","student","S0343"
"U_S0344","s0344@gsr.edu.in","S0344","student","S0344"
"U_S0345","s0345@gsr.edu.in","S0345","student","S0345"
"U_S0346","s0346@gsr.edu.in","S0346","student","S0346"
"U_S0347","s0347@gsr.edu.in","S0347","student","S0347"
"U_S0348","s0348@gsr.edu.in","S0348","student","S0348"
"U_S0349","s0349@gsr.edu.in","S0349","student","S0349"
"U_S0350","s0350@gsr.edu.in","S0350","student","S0350"
"U_S0351","s0351@gsr.edu.in","S0351","student","S0351"
"U_S0352","s0352@gsr.edu.in","S0352","student","S0352"
"U_S0353","s0353@gsr.edu.in","S0353","student","S0353"
"U_S0354","s0354@gsr.edu.in","S0354","student","S0354"
"U_S0355","s0355@gsr.edu.in","S0355","student","S0355"
"U_S0356","s0356@gsr.edu.in","S0356","student","S0356"
"U_S0357","s0357@gsr.edu.in","S0357","student","S0357"
"U_S0358","s0358@gsr.edu.in","S0358","student","S0358"
"U_S0359","s0359@gsr.edu.in","S0359","student","S0359"
"U_S0360","s0360@gsr.edu.in","S0360","student","S0360"
"U_S0361","s0361@gsr.edu.in","S0361","student","S0361"
"U_S0362","s0362@gsr.edu.in","S0362","student","S0362"
"U_S0363","s0363@gsr.edu.in","S0363","student","S0363"
"U_S0364","s0364@gsr.edu.in","S0364","student","S0364"
"U_S0365","s0365@gsr.edu.in","S0365","student","S0365"
"U_S0366","s0366@gsr.edu.in","S0366","student","S0366"
"U_S0367","s0367@gsr.edu.in","S0367","student","S0367"
"U_S0368","s0368@gsr.edu.in","S0368","student","S0368"
"U_S0369","s0369@gsr.edu.in","S0369","student","S0369"
"U_S0370","s0370@gsr.edu.in","S0370","student","S0370"
"U_S0371","s0371@gsr.edu.in","S0371","student","S0371"
"U_S0372","s0372@gsr.edu.in","S0372","student","S0372"
"U_S0373","s0373@gsr.edu.in","S0373","student","S0373"
"U_S0374","s0374@gsr.edu.in","S0374","student","S0374"
"U_S0375","s0375@gsr.edu.in","S0375","student","S0375"
"U_S0376","s0376@gsr.edu.in","S0376","student","S0376"
"U_S0377","s0377@gsr.edu.in","S0377","student","S0377"
"U_S0378","s0378@gsr.edu.in","S0378","student","S0378"
"U_S0379","s0379@gsr.edu.in","S0379","student","S0379"
"U_S0380","s0380@gsr.edu.in","S0380","student","S0380"
"U_S0381","s0381@gsr.edu.in","S0381","student","S0381"
"U_S0382","s0382@gsr.edu.in","S0382","student","S0382"
"U_S0383","s0383@gsr.edu.in","S0383","student","S0383"
"U_S0384","s0384@gsr.edu.in","S0384","student","S0384"
"U_S0385","s0385@gsr.edu.in","S0385","student","S0385"
"U_S0386","s0386@gsr.edu.in","S0386","student","S0386"
"U_S0387","s0387@gsr.edu.in","S0387","student","S0387"
"U_S0388","s0388@gsr.edu.in","S0388","student","S0388"
"U_S0389","s0389@gsr.edu.in","S0389","student","S0389"
"U_S0390","s0390@gsr.edu.in","S0390","student","S0390"
"U_S0391","s0391@gsr.edu.in","S0391","student","S0391"
"U_S0392","s0392@gsr.edu.in","S0392","student","S0392"
"U_S0393","s0393@gsr.edu.in","S0393","student","S0393"
"U_S0394","s0394@gsr.edu.in","S0394","student","S0394"
"U_S0395","s0395@gsr.edu.in","S0395","student","S0395"
"U_S0396","s0396@gsr.edu.in","S0396","student","S0396"
"U_S0397","s0397@gsr.edu.in","S0397","student","S0397"
"U_S0398","s0398@gsr.edu.in","S0398","student","S0398"
"U_S0399","s0399@gsr.edu.in","S0399","student","S0399"
"U_S0400","s0400@gsr.edu.in","S0400","student","S0400"
"U_S0401","s0401@gsr.edu.in","S0401","student","S0401"
"U_S0402","s0402@gsr.edu.in","S0402","student","S0402"
"U_S0403","s0403@gsr.edu.in","S0403","student","S0403"
"U_S0404","s0404@gsr.edu.in","S0404","student","S0404"
"U_S0405","s0405@gsr.edu.in","S0405","student","S0405"
"U_S0406","s0406@gsr.edu.in","S0406","student","S0406"
"U_S0407","s0407@gsr.edu.in","S0407","student","S0407"
"U_S0408","s0408@gsr.edu.in","S0408","student","S0408"
"U_S0409","s0409@gsr.edu.in","S0409","student","S0409"
"U_S0410","s0410@gsr.edu.in","S0410","student","S0410"
"U_S0411","s0411@gsr.edu.in","S0411","student","S0411"
"U_S0412","s0412@gsr.edu.in","S0412","student","S0412"
"U_S0413","s0413@gsr.edu.in","S0413","student","S0413"
"U_S0414","s0414@gsr.edu.in","S0414","student","S0414"
"U_S0415","s0415@gsr.edu.in","S0415","student","S0415"
"U_S0416","s0416@gsr.edu.in","S0416","student","S0416"
"U_S0417","s0417@gsr.edu.in","S0417","student","S0417"
"U_S0418","s0418@gsr.edu.in","S0418","student","S0418"
"U_S0419","s0419@gsr.edu.in","S0419","student","S0419"
"U_S0420","s0420@gsr.edu.in","S0420","student","S0420"
"U_S0421","s0421@gsr.edu.in","S0421","student","S0421"
"U_S0422","s0422@gsr.edu.in","S0422","student","S0422"
"U_S0423","s0423@gsr.edu.in","S0423","student","S0423"
"U_S0424","s0424@gsr.edu.in","S0424","student","S0424"
"U_S0425","s0425@gsr.edu.in","S0425","student","S0425"
"U_S0426","s0426@gsr.edu.in","S0426","student","S0426"
"U_S0427","s0427@gsr.edu.in","S0427","student","S0427"
"U_S0428","s0428@gsr.edu.in","S0428","student","S0428"
"U_S0429","s0429@gsr.edu.in","S0429","student","S0429"
"U_S0430","s0430@gsr.edu.in","S0430","student","S0430"
"U_S0431","s0431@gsr.edu.in","S0431","student","S0431"
"U_S0432","s0432@gsr.edu.in","S0432","student","S0432"
"U_S0433","s0433@gsr.edu.in","S0433","student","S0433"
"U_S0434","s0434@gsr.edu.in","S0434","student","S0434"
"U_S0435","s0435@gsr.edu.in","S0435","student","S0435"
"U_S0436","s0436@gsr.edu.in","S0436","student","S0436"
"U_S0437","s0437@gsr.edu.in","S0437","student","S0437"
"U_S0438","s0438@gsr.edu.in","S0438","student","S0438"
"U_S0439","s0439@gsr.edu.in","S0439","student","S0439"
"U_S0440","s0440@gsr.edu.in","S0440","student","S0440"
"U_S0441","s0441@gsr.edu.in","S0441","student","S0441"
"U_S0442","s0442@gsr.edu.in","S0442","student","S0442"
"U_S0443","s0443@gsr.edu.in","S0443","student","S0443"
"U_S0444","s0444@gsr.edu.in","S0444","student","S0444"
"U_S0445","s0445@gsr.edu.in","S0445","student","S0445"
"U_S0446","s0446@gsr.edu.in","S0446","student","S0446"
"U_S0447","s0447@gsr.edu.in","S0447","student","S0447"
"U_S0448","s0448@gsr.edu.in","S0448","student","S0448"
"U_S0449","s0449@gsr.edu.in","S0449","student","S0449"
"U_S0450","s0450@gsr.edu.in","S0450","student","S0450"
