user_id,username,password,role,linked_student_id,department
U_S0058,S0058,S0058,student,S0058,Computer Engineering
U_S0059,S0059,S0059,student,S0059,Computer Engineering
U_S0060,S0060,S0060,student,S0060,Computer Engineering
U_S0061,S0061,S0061,student,S0061,Computer Engineering
U_S0062,S0062,S0062,student,S0062,Computer Engineering
U_S0063,S0063,S0063,student,S0063,Computer Engineering
U_S0064,S0064,S0064,student,S0064,Computer Engineering
U_S0065,S0065,S0065,student,S0065,Computer Engineering
U_S0066,S0066,S0066,student,S0066,Computer Engineering
U_S0067,S0067,S0067,student,S0067,Computer Engineering
U_S0068,S0068,S0068,student,S0068,Computer Engineering
U_S0069,S0069,S0069,student,S0069,Computer Engineering
U_S0070,S0070,S0070,student,S0070,Computer Engineering
U_S0071,S0071,S0071,student,S0071,Computer Engineering
U_S0072,S0072,S0072,student,S0072,Computer Engineering
U_S0073,S0073,S0073,student,S0073,Computer Engineering
U_S0074,S0074,S0074,student,S0074,Computer Engineering
U_S0075,S0075,S0075,student,S0075,Computer Engineering
U_S0076,S0076,S0076,student,S0076,Computer Engineering
U_S0077,S0077,S0077,student,S0077,Computer Engineering
U_S0078,S0078,S0078,student,S0078,Computer Engineering
U_S0079,S0079,S0079,student,S0079,Computer Engineering
U_S0080,S0080,S0080,student,S0080,Computer Engineering
U_S0081,S0081,S0081,student,S0081,Computer Engineering
U_S0082,S0082,S0082,student,S0082,Computer Engineering
U_S0083,S0083,S0083,student,S0083,Computer Engineering
U_S0084,S0084,S0084,student,S0084,Computer Engineering
U_S0085,S0085,S0085,student,S0085,Computer Engineering
U_S0086,S0086,S0086,student,S0086,Computer Engineering
U_S0087,S0087,S0087,student,S0087,Computer Engineering
U_S0088,S0088,S0088,student,S0088,Computer Engineering
U_S0089,S0089,S0089,student,S0089,Computer Engineering
U_S0090,S0090,S0090,student,S0090,Computer Engineering
U_S0091,S0091,S0091,student,S0091,Computer Engineering
U_S0092,S0092,S0092,student,S0092,Computer Engineering
U_S0093,S0093,S0093,student,S0093,Computer Engineering
U_S0094,S0094,S0094,student,S0094,Computer Engineering
U_S0095,S0095,S0095,student,S0095,Computer Engineering
U_S0096,S0096,S0096,student,S0096,Computer Engineering
U_S0097,S0097,S0097,student,S0097,Computer Engineering
U_S0098,S0098,S0098,student,S0098,Computer Engineering
U_S0099,S0099,S0099,student,S0099,Computer Engineering
U_S0100,S0100,S0100,student,S0100,Computer Engineering
U_S0101,S0101,S0101,student,S0101,Computer Engineering
U_S0102,S0102,S0102,student,S0102,Computer Engineering
U_S0103,S0103,S0103,student,S0103,Computer Engineering
U_S0104,S0104,S0104,student,S0104,Computer Engineering
U_S0105,S0105,S0105,student,S0105,Computer Engineering
U_S0106,S0106,S0106,student,S0106,Computer Engineering
U_S0107,S0107,S0107,student,S0107,Computer Engineering
U_S0108,S0108,S0108,student,S0108,Computer Engineering
U_S0109,S0109,S0109,student,S0109,Computer Engineering
U_S0110,S0110,S0110,student,S0110,Computer Engineering
U_S0111,S0111,S0111,student,S0111,Computer Engineering
U_S0112,S0112,S0112,student,S0112,Computer Engineering
U_S0113,S0113,S0113,student,S0113,Computer Engineering
U_S0114,S0114,S0114,student,S0114,Computer Engineering
U_S0115,S0115,S0115,student,S0115,Computer Engineering
U_S0116,S0116,S0116,student,S0116,Computer Engineering
U_S0117,S0117,S0117,student,S0117,Computer Engineering
U_S0118,S0118,S0118,student,S0118,Computer Engineering
U_S0119,S0119,S0119,student,S0119,Computer Engineering
U_S0120,S0120,S0120,student,S0120,Computer Engineering
U_S0121,S0121,S0121,student,S0121,Computer Engineering
U_S0122,S0122,S0122,student,S0122,Computer Engineering
U_S0123,S0123,S0123,student,S0123,Computer Engineering
U_S0124,S0124,S0124,student,S0124,Computer Engineering
U_S0125,S0125,S0125,student,S0125,Computer Engineering
U_S0126,S0126,S0126,student,S0126,Computer Engineering
U_S0127,S0127,S0127,student,S0127,Computer Engineering
U_S0128,S0128,S0128,student,S0128,Computer Engineering
U_S0129,S0129,S0129,student,S0129,Computer Engineering
U_S0130,S0130,S0130,student,S0130,Computer Engineering
U_S0131,S0131,S0131,student,S0131,Computer Engineering
U_S0132,S0132,S0132,student,S0132,Computer Engineering
U_S0133,S0133,S0133,student,S0133,Computer Engineering
U_S0134,S0134,S0134,student,S0134,Computer Engineering
U_S0135,S0135,S0135,student,S0135,Computer Engineering
U_S0136,S0136,S0136,student,S0136,Computer Engineering
U_S0137,S0137,S0137,student,S0137,Computer Engineering
U_S0138,S0138,S0138,student,S0138,Computer Engineering
U_S0139,S0139,S0139,student,S0139,Computer Engineering
U_S0140,S0140,S0140,student,S0140,Computer Engineering
U_S0141,S0141,S0141,student,S0141,Computer Engineering
U_S0142,S0142,S0142,student,S0142,Computer Engineering
U_S0143,S0143,S0143,student,S0143,Computer Engineering
U_S0144,S0144,S0144,student,S0144,Computer Engineering
U_S0145,S0145,S0145,student,S0145,Computer Engineering
U_S0146,S0146,S0146,student,S0146,Computer Engineering
U_S0147,S0147,S0147,student,S0147,Computer Engineering
U_S0148,S0148,S0148,student,S0148,Computer Engineering
U_S0149,S0149,S0149,student,S0149,Computer Engineering
U_S0150,S0150,S0150,student,S0150,Computer Engineering
U_S0151,S0151,S0151,student,S0151,Civil Engineering
U_S0152,S0152,S0152,student,S0152,Civil Engineering
U_S0153,S0153,S0153,student,S0153,Civil Engineering
U_S0154,S0154,S0154,student,S0154,Civil Engineering
U_S0155,S0155,S0155,student,S0155,Civil Engineering
U_S0156,S0156,S0156,student,S0156,Civil Engineering
U_S0157,S0157,S0157,student,S0157,Civil Engineering
U_S0158,S0158,S0158,student,S0158,Civil Engineering
U_S0159,S0159,S0159,student,S0159,Civil Engineering
U_S0160,S0160,S0160,student,S0160,Civil Engineering
U_S0161,S0161,S0161,student,S0161,Civil Engineering
U_S0162,S0162,S0162,student,S0162,Civil Engineering
U_S0163,S0163,S0163,student,S0163,Civil Engineering
U_S0164,S0164,S0164,student,S0164,Civil Engineering
U_S0165,S0165,S0165,student,S0165,Civil Engineering
U_S0166,S0166,S0166,student,S0166,Civil Engineering
U_S0167,S0167,S0167,student,S0167,Civil Engineering
U_S0168,S0168,S0168,student,S0168,Civil Engineering
U_S0169,S0169,S0169,student,S0169,Civil Engineering
U_S0170,S0170,S0170,student,S0170,Civil Engineering
U_S0171,S0171,S0171,student,S0171,Civil Engineering
U_S0172,S0172,S0172,student,S0172,Civil Engineering
U_S0173,S0173,S0173,student,S0173,Civil Engineering
U_S0174,S0174,S0174,student,S0174,Civil Engineering
U_S0175,S0175,S0175,student,S0175,Civil Engineering
U_S0176,S0176,S0176,student,S0176,Civil Engineering
U_S0177,S0177,S0177,student,S0177,Civil Engineering
U_S0178,S0178,S0178,student,S0178,Civil Engineering
U_S0179,S0179,S0179,student,S0179,Civil Engineering
U_S0180,S0180,S0180,student,S0180,Civil Engineering
U_S0181,S0181,S0181,student,S0181,Civil Engineering
U_S0182,S0182,S0182,student,S0182,Civil Engineering
U_S0183,S0183,S0183,student,S0183,Civil Engineering
U_S0184,S0184,S0184,student,S0184,Civil Engineering
U_S0185,S0185,S0185,student,S0185,Civil Engineering
U_S0186,S0186,S0186,student,S0186,Civil Engineering
U_S0187,S0187,S0187,student,S0187,Civil Engineering
U_S0188,S0188,S0188,student,S0188,Civil Engineering
U_S0189,S0189,S0189,student,S0189,Civil Engineering
U_S0190,S0190,S0190,student,S0190,Civil Engineering
U_S0191,S0191,S0191,student,S0191,Civil Engineering
U_S0192,S0192,S0192,student,S0192,Civil Engineering
U_S0193,S0193,S0193,student,S0193,Civil Engineering
U_S0194,S0194,S0194,student,S0194,Civil Engineering
U_S0195,S0195,S0195,student,S0195,Civil Engineering
U_S0196,S0196,S0196,student,S0196,Civil Engineering
U_S0197,S0197,S0197,student,S0197,Civil Engineering
U_S0198,S0198,S0198,student,S0198,Civil Engineering
U_S0199,S0199,S0199,student,S0199,Civil Engineering
U_S0200,S0200,S0200,student,S0200,Civil Engineering
U_S0201,S0201,S0201,student,S0201,Civil Engineering
U_S0202,S0202,S0202,student,S0202,Civil Engineering
U_S0203,S0203,S0203,student,S0203,Civil Engineering
U_S0204,S0204,S0204,student,S0204,Civil Engineering
U_S0205,S0205,S0205,student,S0205,Civil Engineering
U_S0206,S0206,S0206,student,S0206,Civil Engineering
U_S0207,S0207,S0207,student,S0207,Civil Engineering
U_S0208,S0208,S0208,student,S0208,Civil Engineering
U_S0209,S0209,S0209,student,S0209,Civil Engineering
U_S0210,S0210,S0210,student,S0210,Civil Engineering
U_S0211,S0211,S0211,student,S0211,Civil Engineering
U_S0212,S0212,S0212,student,S0212,Civil Engineering
U_S0213,S0213,S0213,student,S0213,Civil Engineering
U_S0214,S0214,S0214,student,S0214,Civil Engineering
U_S0215,S0215,S0215,student,S0215,Civil Engineering
U_S0216,S0216,S0216,student,S0216,Civil Engineering
U_S0217,S0217,S0217,student,S0217,Civil Engineering
U_S0218,S0218,S0218,student,S0218,Civil Engineering
U_S0219,S0219,S0219,student,S0219,Civil Engineering
U_S0220,S0220,S0220,student,S0220,Civil Engineering
U_S0221,S0221,S0221,student,S0221,Civil Engineering
U_S0222,S0222,S0222,student,S0222,Civil Engineering
U_S0223,S0223,S0223,student,S0223,Civil Engineering
U_S0224,S0224,S0224,student,S0224,Civil Engineering
U_S0225,S0225,S0225,student,S0225,Civil Engineering
U_S0226,S0226,S0226,student,S0226,Civil Engineering
U_S0227,S0227,S0227,student,S0227,Civil Engineering
U_S0228,S0228,S0228,student,S0228,Civil Engineering
U_S0229,S0229,S0229,student,S0229,Civil Engineering
U_S0230,S0230,S0230,student,S0230,Civil Engineering
U_S0231,S0231,S0231,student,S0231,Civil Engineering
U_S0232,S0232,S0232,student,S0232,Civil Engineering
U_S0233,S0233,S0233,student,S0233,Civil Engineering
U_S0234,S0234,S0234,student,S0234,Civil Engineering
U_S0235,S0235,S0235,student,S0235,Civil Engineering
U_S0236,S0236,S0236,student,S0236,Civil Engineering
U_S0237,S0237,S0237,student,S0237,Civil Engineering
U_S0238,S0238,S0238,student,S0238,Civil Engineering
U_S0239,S0239,S0239,student,S0239,Civil Engineering
U_S0240,S0240,S0240,student,S0240,Civil Engineering
U_S0241,S0241,S0241,student,S0241,Civil Engineering
U_S0242,S0242,S0242,student,S0242,Civil Engineering
U_S0243,S0243,S0243,student,S0243,Civil Engineering
U_S0244,S0244,S0244,student,S0244,Civil Engineering
U_S0245,S0245,S0245,student,S0245,Civil Engineering
U_S0246,S0246,S0246,student,S0246,Civil Engineering
U_S0247,S0247,S0247,student,S0247,Civil Engineering
U_S0248,S0248,S0248,student,S0248,Civil Engineering
U_S0249,S0249,S0249,student,S0249,Civil Engineering
U_S0250,S0250,S0250,student,S0250,Civil Engineering
U_S0251,S0251,S0251,student,S0251,Civil Engineering
U_S0252,S0252,S0252,student,S0252,Civil Engineering
U_S0253,S0253,S0253,student,S0253,Civil Engineering
U_S0254,S0254,S0254,student,S0254,Civil Engineering
U_S0255,S0255,S0255,student,S0255,Civil Engineering
U_S0256,S0256,S0256,student,S0256,Civil Engineering
U_S0257,S0257,S0257,student,S0257,Civil Engineering
U_S0258,S0258,S0258,student,S0258,Civil Engineering
U_S0259,S0259,S0259,student,S0259,Civil Engineering
U_S0260,S0260,S0260,student,S0260,Civil Engineering
U_S0261,S0261,S0261,student,S0261,Civil Engineering
U_S0262,S0262,S0262,student,S0262,Civil Engineering
U_S0263,S0263,S0263,student,S0263,Civil Engineering
U_S0264,S0264,S0264,student,S0264,Civil Engineering
U_S0265,S0265,S0265,student,S0265,Civil Engineering
U_S0266,S0266,S0266,student,S0266,Civil Engineering
U_S0267,S0267,S0267,student,S0267,Civil Engineering
U_S0268,S0268,S0268,student,S0268,Civil Engineering
U_S0269,S0269,S0269,student,S0269,Civil Engineering
U_S0270,S0270,S0270,student,S0270,Civil Engineering
U_S0271,S0271,S0271,student,S0271,Civil Engineering
U_S0272,S0272,S0272,student,S0272,Civil Engineering
U_S0273,S0273,S0273,student,S0273,Civil Engineering
U_S0274,S0274,S0274,student,S0274,Civil Engineering
U_S0275,S0275,S0275,student,S0275,Civil Engineering
U_S0276,S0276,S0276,student,S0276,Civil Engineering
U_S0277,S0277,S0277,student,S0277,Civil Engineering
U_S0278,S0278,S0278,student,S0278,Civil Engineering
U_S0279,S0279,S0279,student,S0279,Civil Engineering
U_S0280,S0280,S0280,student,S0280,Civil Engineering
U_S0281,S0281,S0281,student,S0281,Civil Engineering
U_S0282,S0282,S0282,student,S0282,Civil Engineering
U_S0283,S0283,S0283,student,S0283,Civil Engineering
U_S0284,S0284,S0284,student,S0284,Civil Engineering
U_S0285,S0285,S0285,student,S0285,Civil Engineering
U_S0286,S0286,S0286,student,S0286,Civil Engineering
U_S0287,S0287,S0287,student,S0287,Civil Engineering
U_S0288,S0288,S0288,student,S0288,Civil Engineering
U_S0289,S0289,S0289,student,S0289,Civil Engineering
U_S0290,S0290,S0290,student,S0290,Civil Engineering
U_S0291,S0291,S0291,student,S0291,Civil Engineering
U_S0292,S0292,S0292,student,S0292,Civil Engineering
U_S0293,S0293,S0293,student,S0293,Civil Engineering
U_S0294,S0294,S0294,student,S0294,Civil Engineering
U_S0295,S0295,S0295,student,S0295,Civil Engineering
U_S0296,S0296,S0296,student,S0296,Civil Engineering
U_S0297,S0297,S0297,student,S0297,Civil Engineering
U_S0298,S0298,S0298,student,S0298,Civil Engineering
U_S0299,S0299,S0299,student,S0299,Civil Engineering
U_S0300,S0300,S0300,student,S0300,Civil Engineering
U_S0301,S0301,S0301,student,S0301,Electrical Engineering
U_S0302,S0302,S0302,student,S0302,Electrical Engineering
U_S0303,S0303,S0303,student,S0303,Electrical Engineering
U_S0304,S0304,S0304,student,S0304,Electrical Engineering
U_S0305,S0305,S0305,student,S0305,Electrical Engineering
U_S0306,S0306,S0306,student,S0306,Electrical Engineering
U_S0307,S0307,S0307,student,S0307,Electrical Engineering
U_S0308,S0308,S0308,student,S0308,Electrical Engineering
U_S0309,S0309,S0309,student,S0309,Electrical Engineering
U_S0310,S0310,S0310,student,S0310,Electrical Engineering
U_S0311,S0311,S0311,student,S0311,Electrical Engineering
U_S0312,S0312,S0312,student,S0312,Electrical Engineering
U_S0313,S0313,S0313,student,S0313,Electrical Engineering
U_S0314,S0314,S0314,student,S0314,Electrical Engineering
U_S0315,S0315,S0315,student,S0315,Electrical Engineering
U_S0316,S0316,S0316,student,S0316,Electrical Engineering
U_S0317,S0317,S0317,student,S0317,Electrical Engineering
U_S0318,S0318,S0318,student,S0318,Electrical Engineering
U_S0319,S0319,S0319,student,S0319,Electrical Engineering
U_S0320,S0320,S0320,student,S0320,Electrical Engineering
U_S0321,S0321,S0321,student,S0321,Electrical Engineering
U_S0322,S0322,S0322,student,S0322,Electrical Engineering
U_S0323,S0323,S0323,student,S0323,Electrical Engineering
U_S0324,S0324,S0324,student,S0324,Electrical Engineering
U_S0325,S0325,S0325,student,S0325,Electrical Engineering
U_S0326,S0326,S0326,student,S0326,Electrical Engineering
U_S0327,S0327,S0327,student,S0327,Electrical Engineering
U_S0328,S0328,S0328,student,S0328,Electrical Engineering
U_S0329,S0329,S0329,student,S0329,Electrical Engineering
U_S0330,S0330,S0330,student,S0330,Electrical Engineering
U_S0331,S0331,S0331,student,S0331,Electrical Engineering
U_S0332,S0332,S0332,student,S0332,Electrical Engineering
U_S0333,S0333,S0333,student,S0333,Electrical Engineering
U_S0334,S0334,S0334,student,S0334,Electrical Engineering
U_S0335,S0335,S0335,student,S0335,Electrical Engineering
U_S0336,S0336,S0336,student,S0336,Electrical Engineering
U_S0337,S0337,S0337,student,S0337,Electrical Engineering
U_S0338,S0338,S0338,student,S0338,Electrical Engineering
U_S0339,S0339,S0339,student,S0339,Electrical Engineering
U_S0340,S0340,S0340,student,S0340,Electrical Engineering
U_S0341,S0341,S0341,student,S0341,Electrical Engineering
U_S0342,S0342,S0342,student,S0342,Electrical Engineering
U_S0343,S0343,S0343,student,S0343,Electrical Engineering
U_S0344,S0344,S0344,student,S0344,Electrical Engineering
U_S0345,S0345,S0345,student,S0345,Electrical Engineering
U_S0346,S0346,S0346,student,S0346,Electrical Engineering
U_S0347,S0347,S0347,student,S0347,Electrical Engineering
U_S0348,S0348,S0348,student,S0348,Electrical Engineering
U_S0349,S0349,S0349,student,S0349,Electrical Engineering
U_S0350,S0350,S0350,student,S0350,Electrical Engineering
U_S0351,S0351,S0351,student,S0351,Electrical Engineering
U_S0352,S0352,S0352,student,S0352,Electrical Engineering
U_S0353,S0353,S0353,student,S0353,Electrical Engineering
U_S0354,S0354,S0354,student,S0354,Electrical Engineering
U_S0355,S0355,S0355,student,S0355,Electrical Engineering
U_S0356,S0356,S0356,student,S0356,Electrical Engineering
U_S0357,S0357,S0357,student,S0357,Electrical Engineering
U_S0358,S0358,S0358,student,S0358,Electrical Engineering
U_S0359,S0359,S0359,student,S0359,Electrical Engineering
U_S0360,S0360,S0360,student,S0360,Electrical Engineering
U_S0361,S0361,S0361,student,S0361,Electrical Engineering
U_S0362,S0362,S0362,student,S0362,Electrical Engineering
U_S0363,S0363,S0363,student,S0363,Electrical Engineering
U_S0364,S0364,S0364,student,S0364,Electrical Engineering
U_S0365,S0365,S0365,student,S0365,Electrical Engineering
U_S0366,S0366,S0366,student,S0366,Electrical Engineering
U_S0367,S0367,S0367,student,S0367,Electrical Engineering
U_S0368,S0368,S0368,student,S0368,Electrical Engineering
U_S0369,S0369,S0369,student,S0369,Electrical Engineering
U_S0370,S0370,S0370,student,S0370,Electrical Engineering
U_S0371,S0371,S0371,student,S0371,Electrical Engineering
U_S0372,S0372,S0372,student,S0372,Electrical Engineering
U_S0373,S0373,S0373,student,S0373,Electrical Engineering
U_S0374,S0374,S0374,student,S0374,Electrical Engineering
U_S0375,S0375,S0375,student,S0375,Electrical Engineering
U_S0376,S0376,S0376,student,S0376,Electrical Engineering
U_S0377,S0377,S0377,student,S0377,Electrical Engineering
U_S0378,S0378,S0378,student,S0378,Electrical Engineering
U_S0379,S0379,S0379,student,S0379,Electrical Engineering
U_S0380,S0380,S0380,student,S0380,Electrical Engineering
U_S0381,S0381,S0381,student,S0381,Electrical Engineering
U_S0382,S0382,S0382,student,S0382,Electrical Engineering
U_S0383,S0383,S0383,student,S0383,Electrical Engineering
U_S0384,S0384,S0384,student,S0384,Electrical Engineering
U_S0385,S0385,S0385,student,S0385,Electrical Engineering
U_S0386,S0386,S0386,student,S0386,Electrical Engineering
U_S0387,S0387,S0387,student,S0387,Electrical Engineering
U_S0388,S0388,S0388,student,S0388,Electrical Engineering
U_S0389,S0389,S0389,student,S0389,Electrical Engineering
U_S0390,S0390,S0390,student,S0390,Electrical Engineering
U_S0391,S0391,S0391,student,S0391,Electrical Engineering
U_S0392,S0392,S0392,student,S0392,Electrical Engineering
U_S0393,S0393,S0393,student,S0393,Electrical Engineering
U_S0394,S0394,S0394,student,S0394,Electrical Engineering
U_S0395,S0395,S0395,student,S0395,Electrical Engineering
U_S0396,S0396,S0396,student,S0396,Electrical Engineering
U_S0397,S0397,S0397,student,S0397,Electrical Engineering
U_S0398,S0398,S0398,student,S0398,Electrical Engineering
U_S0399,S0399,S0399,student,S0399,Electrical Engineering
U_S0400,S0400,S0400,student,S0400,Electrical Engineering
U_S0401,S0401,S0401,student,S0401,Electrical Engineering
U_S0402,S0402,S0402,student,S0402,Electrical Engineering
U_S0403,S0403,S0403,student,S0403,Electrical Engineering
U_S0404,S0404,S0404,student,S0404,Electrical Engineering
U_S0405,S0405,S0405,student,S0405,Electrical Engineering
U_S0406,S0406,S0406,student,S0406,Electrical Engineering
U_S0407,S0407,S0407,student,S0407,Electrical Engineering
U_S0408,S0408,S0408,student,S0408,Electrical Engineering
U_S0409,S0409,S0409,student,S0409,Electrical Engineering
U_S0410,S0410,S0410,student,S0410,Electrical Engineering
U_S0411,S0411,S0411,student,S0411,Electrical Engineering
U_S0412,S0412,S0412,student,S0412,Electrical Engineering
U_S0413,S0413,S0413,student,S0413,Electrical Engineering
U_S0414,S0414,S0414,student,S0414,Electrical Engineering
U_S0415,S0415,S0415,student,S0415,Electrical Engineering
U_S0416,S0416,S0416,student,S0416,Electrical Engineering
U_S0417,S0417,S0417,student,S0417,Electrical Engineering
U_S0418,S0418,S0418,student,S0418,Electrical Engineering
U_S0419,S0419,S0419,student,S0419,Electrical Engineering
U_S0420,S0420,S0420,student,S0420,Electrical Engineering
U_S0421,S0421,S0421,student,S0421,Electrical Engineering
U_S0422,S0422,S0422,student,S0422,Electrical Engineering
U_S0423,S0423,S0423,student,S0423,Electrical Engineering
U_S0424,S0424,S0424,student,S0424,Electrical Engineering
U_S0425,S0425,S0425,student,S0425,Electrical Engineering
U_S0426,S0426,S0426,student,S0426,Electrical Engineering
U_S0427,S0427,S0427,student,S0427,Electrical Engineering
U_S0428,S0428,S0428,student,S0428,Electrical Engineering
U_S0429,S0429,S0429,student,S0429,Electrical Engineering
U_S0430,S0430,S0430,student,S0430,Electrical Engineering
U_S0431,S0431,S0431,student,S0431,Electrical Engineering
U_S0432,S0432,S0432,student,S0432,Electrical Engineering
U_S0433,S0433,S0433,student,S0433,Electrical Engineering
U_S0434,S0434,S0434,student,S0434,Electrical Engineering
U_S0435,S0435,S0435,student,S0435,Electrical Engineering
U_S0436,S0436,S0436,student,S0436,Electrical Engineering
U_S0437,S0437,S0437,student,S0437,Electrical Engineering
U_S0438,S0438,S0438,student,S0438,Electrical Engineering
U_S0439,S0439,S0439,student,S0439,Electrical Engineering
U_S0440,S0440,S0440,student,S0440,Electrical Engineering
U_S0441,S0441,S0441,student,S0441,Electrical Engineering
U_S0442,S0442,S0442,student,S0442,Electrical Engineering
U_S0443,S0443,S0443,student,S0443,Electrical Engineering
U_S0444,S0444,S0444,student,S0444,Electrical Engineering
U_S0445,S0445,S0445,student,S0445,Electrical Engineering
U_S0446,S0446,S0446,student,S0446,Electrical Engineering
U_S0447,S0447,S0447,student,S0447,Electrical Engineering
U_S0448,S0448,S0448,student,S0448,Electrical Engineering
U_S0449,S0449,S0449,student,S0449,Electrical Engineering
U_S0450,S0450,S0450,student,S0450,Electrical Engineering
U_S0451,S0451,S0451,student,S0451,BBA
U_S0452,S0452,S0452,student,S0452,BBA
U_S0453,S0453,S0453,student,S0453,BBA
U_S0454,S0454,S0454,student,S0454,BBA
U_S0455,S0455,S0455,student,S0455,BBA
U_S0456,S0456,S0456,student,S0456,BBA
U_S0457,S0457,S0457,student,S0457,BBA
U_S0458,S0458,S0458,student,S0458,BBA
U_S0459,S0459,S0459,student,S0459,BBA
U_S0460,S0460,S0460,student,S0460,BBA
U_S0461,S0461,S0461,student,S0461,BBA
U_S0462,S0462,S0462,student,S0462,BBA
U_S0463,S0463,S0463,student,S0463,BBA
U_S0464,S0464,S0464,student,S0464,BBA
U_S0465,S0465,S0465,student,S0465,BBA
U_S0466,S0466,S0466,student,S0466,BBA
U_S0467,S0467,S0467,student,S0467,BBA
U_S0468,S0468,S0468,student,S0468,BBA
U_S0469,S0469,S0469,student,S0469,BBA
U_S0470,S0470,S0470,student,S0470,BBA
U_S0471,S0471,S0471,student,S0471,BBA
U_S0472,S0472,S0472,student,S0472,BBA
U_S0473,S0473,S0473,student,S0473,BBA
U_S0474,S0474,S0474,student,S0474,BBA
U_S0475,S0475,S0475,student,S0475,BBA
U_S0476,S0476,S0476,student,S0476,BBA
U_S0477,S0477,S0477,student,S0477,BBA
U_S0478,S0478,S0478,student,S0478,BBA
U_S0479,S0479,S0479,student,S0479,BBA
U_S0480,S0480,S0480,student,S0480,BBA
U_S0481,S0481,S0481,student,S0481,BBA
U_S0482,S0482,S0482,student,S0482,BBA
U_S0483,S0483,S0483,student,S0483,BBA
U_S0484,S0484,S0484,student,S0484,BBA
U_S0485,S0485,S0485,student,S0485,BBA
U_S0486,S0486,S0486,student,S0486,BBA
U_S0487,S0487,S0487,student,S0487,BBA
U_S0488,S0488,S0488,student,S0488,BBA
U_S0489,S0489,S0489,student,S0489,BBA
U_S0490,S0490,S0490,student,S0490,BBA
U_S0491,S0491,S0491,student,S0491,BBA
U_S0492,S0492,S0492,student,S0492,BBA
U_S0493,S0493,S0493,student,S0493,BBA
U_S0494,S0494,S0494,student,S0494,BBA
U_S0495,S0495,S0495,student,S0495,BBA
U_S0496,S0496,S0496,student,S0496,BBA
U_S0497,S0497,S0497,student,S0497,BBA
U_S0498,S0498,S0498,student,S0498,BBA
U_S0499,S0499,S0499,student,S0499,BBA
